"Key","Name","Category","ProjectType","Lead","Url"
"HISIK300UGDYD","HISI-K300U广东移动","其他","software",,"http://tvjira.hisense.com/projects/HISIK300UGDYD"
"HISIK300UGEHUA","HiSi-K300U歌华","其他","software",,"http://tvjira.hisense.com/projects/HISIK300UGEHUA"
"HISIK5500US","HiSi-K5500US","其他","software",,"http://tvjira.hisense.com/projects/HISIK5500US"
"HISIK700","HiSi-K700&K7100","其他","software",,"http://tvjira.hisense.com/projects/HISIK700"
"HISIV351VIDAA6","HISI-V351-VIDAA6","系统和OS平台","software",,"http://tvjira.hisense.com/projects/HISIV351VIDAA6"
"HISIV551","HISI-V551","其他","software",,"http://tvjira.hisense.com/projects/HISIV551"
"HISIV551VIDAA6","HISI-V551-VIDAA6","系统和OS平台","software",,"http://tvjira.hisense.com/projects/HISIV551VIDAA6"
"HISIV551HK","HISI-V551HK","其他","software",,"http://tvjira.hisense.com/projects/HISIV551HK"
"HISIV560VIDAA6","HISI-V560-VIDAA6 ","系统和OS平台","software",,"http://tvjira.hisense.com/projects/HISIV560VIDAA6"
"HISIV600HK","HISI-V600HK","其他","software",,"http://tvjira.hisense.com/projects/HISIV600HK"
"HISIV600TH","HISI-V600TH","其他","software",,"http://tvjira.hisense.com/projects/HISIV600TH"
"HISIV620","HISI-V620","其他","software",,"http://tvjira.hisense.com/projects/HISIV620"
"HISIV620HK","HISI-V620HK","其他","software",,"http://tvjira.hisense.com/projects/HISIV620HK"
"HISIV670AOSP","HISI-V670-AOSP","Amlogic和Android平台","software",,"http://tvjira.hisense.com/projects/HISIV670AOSP"
"HISIV810","HISI-V810","其他","software",,"http://tvjira.hisense.com/projects/HISIV810"
"HISIV810SJDS","HISI-V810社交电视","其他","software",,"http://tvjira.hisense.com/projects/HISIV810SJDS"
"HISIV811","HISI-V811","其他","software",,"http://tvjira.hisense.com/projects/HISIV811"
"HISIV811SN","HISI-V811-SN","其他","software",,"http://tvjira.hisense.com/projects/HISIV811SN"
"HISIV811SJTV","HISI-V811社交电视","产品项目","software",,"http://tvjira.hisense.com/projects/HISIV811SJTV"
"HISIB200A","Hisi-商显B200A","其他","software",,"http://tvjira.hisense.com/projects/HISIB200A"
"HISIV201USTTS","HISI_V201_US_TTS","其他","software",,"http://tvjira.hisense.com/projects/HISIV201USTTS"
"HISIV551SA","HISI_V551_SA","其他","software",,"http://tvjira.hisense.com/projects/HISIV551SA"
"HISIV1010D00","HISIV1010D00","其他","software",,"http://tvjira.hisense.com/projects/HISIV1010D00"
"HISIV551BM66A","HISIV551-商显BM66A","其他","software",,"http://tvjira.hisense.com/projects/HISIV551BM66A"
"HISIV551L18H","HisiV551-商显L18H","其他","software",,"http://tvjira.hisense.com/projects/HISIV551L18H"
"HISIV551SXSZBP","HisiV551-商显数字标牌","其他","software",,"http://tvjira.hisense.com/projects/HISIV551SXSZBP"
"HISIV551LV6","HISIV551L_V6","其他","software",,"http://tvjira.hisense.com/projects/HISIV551LV6"
"HISIV620TVOS2","HISIV620_TVOS2.0","产品项目","software",,"http://tvjira.hisense.com/projects/HISIV620TVOS2"
"HISIV811Z8A","HisiV811-商显Z8A","其他","software",,"http://tvjira.hisense.com/projects/HISIV811Z8A"
"SCREENHELPERCBB","Hi投屏_CBB","其他","software",,"http://tvjira.hisense.com/projects/SCREENHELPERCBB"
"HIMUSIC","Hi音乐","其他","software",,"http://tvjira.hisense.com/projects/HIMUSIC"
"HOTELMENU","HotelMenu","其他","software",,"http://tvjira.hisense.com/projects/HOTELMENU"
"HS980","HS980","其他","software",,"http://tvjira.hisense.com/projects/HS980"
"DUALCHIPHSP3","HSPCore双芯片通信交互预研","其他","software",,"http://tvjira.hisense.com/projects/DUALCHIPHSP3"
"HT2030VMAC","HT2030-空调离线语音模块VM-AC2","其他","software",,"http://tvjira.hisense.com/projects/HT2030VMAC"
