"Id","Name","Custom","Orderable","Searchable","ClauseNames","SchemaType","SchemaCustom"
"customfield_17702","评估意见","True","True","True","cf[17702]|评估意见","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_17701","变更工作量","True","True","True","cf[17701]|变更工作量","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_26300","PRD是否需要基线","True","True","True","cf[26300]|PRD是否需要基线","option","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons"
"customfield_24000","应用版本","True","True","True","cf[24000]|应用版本","issuelinks","com.onresolve.jira.groovy.groovyrunner:single-issue-picker-cf"
"customfield_16600","Pending/Defer/Won't Fix/not a bug解决结果","True","True","True","cf[16600]|Pending/Defer/Won't Fix/not a bug解决结果","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_18900","产品线","True","True","True","cf[18900]|产品线","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_14300","变更方式","True","True","True","cf[14300]|变更方式","option","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons"
"customfield_12002","漏测根因分析","True","True","True","cf[12002]|漏测根因分析","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_12004","改善措施责任人","True","True","True","cf[12004]|改善措施责任人","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_12003","后续改善措施","True","True","True","cf[12003]|后续改善措施","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_12006","项目类型","True","True","True","cf[12006]|项目类型","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"labels","标签","False","True","True","labels","array",
"customfield_12005","预计完成时间","True","True","True","cf[12005]|预计完成时间","date","com.atlassian.jira.plugin.system.customfieldtypes:datepicker"
"customfield_25100","SVN版本号","True","True","True","cf[25100]|SVN版本号","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_27400","评审物地址","True","True","True","cf[27400]|评审物地址","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"components","模块","False","True","True","component","array",
"customfield_23000","hash","True","True","True","cf[23000]|hash","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_15500","设计变更内容","True","True","True","cf[15500]|设计变更内容","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_13201","原因类别(NC)","True","True","True","cf[13201]|原因类别(NC)","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_13200","NC类别","True","True","True","cf[13200]|NC类别","option","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons"
"customfield_17802","问题可发现阶段","True","True","True","cf[17802]|问题可发现阶段","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_17800","共性问题","True","True","True","cf[17800]|共性问题","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_26200","提示","True","True","True","cf[26200]|提示","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_14400","二级模块","True","True","True","cf[14400]|二级模块","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_11131","发布类型","True","True","True","cf[11131]|发布类型","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"reporter","报告人","False","True","True","reporter","user",
"customfield_11132","计划开始时间","True","True","True","cf[11132]|计划开始时间","date","com.atlassian.jira.plugin.system.customfieldtypes:datepicker"
"customfield_12100","测试模块","True","True","True","cf[12100]|测试模块","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_11133","计划关闭时间","True","True","True","cf[11133]|计划关闭时间","date","com.atlassian.jira.plugin.system.customfieldtypes:datepicker"
"customfield_11134","来源产品系列","True","True","True","cf[11134]|来源产品系列","option-with-child","com.atlassian.jira.plugin.system.customfieldtypes:cascadingselect"
